index,BriCond,BriLen,chainage,lat,lon,lrp,type,Object Name,distance
43,,,17.524,23.6525278,90.5798882,LRP018,Road,Road43,195.4517353
14590,B,20,17.722,23.65157057,90.58149439,LRP018a,Bridge,Bridge14590,0
14590,B,,17.722,23.65157057,90.58149439,LRP018a,Output@Bridge,Output@Bridge14590,139.1859392
44,,,17.863,23.6508889,90.5826382,LRP018a,Road,Road44,42.72773077
45,,,17.904,23.6506944,90.5829993,LRP018b,Road,Road45,189.5839627
14593,B,24.5,18.093,23.6497544,90.58454901,LRP018c,Bridge,Bridge14593,0
14593,B,,18.093,23.6497544,90.58454901,LRP018c,Output@Bridge,Output@Bridge14593,432.3352239
46,,,18.524,23.6476108,90.588083,LRP019,Road,Road46,216.102668
14596,B,40.4,18.742,23.64596859,90.58921198,LRP019a,Bridge,Bridge14596,0
14596,B,,18.742,23.64596859,90.58921198,LRP019a,Output@Bridge,Output@Bridge14596,134.8167334
47,,,18.878,23.6449441,90.5899163,LRP019a,Road,Road47,644.0828917
48,,,19.521,23.6397497,90.5926941,LRP019b,Road,Road48,6.809734041
49,,,19.524,23.6396941,90.5927219,LRP020,Road,Road49,216.4040225
16,A,6,19.76,23.63795437,90.5936674,LRP020a,Bridge,Bridge16,0
16,A,,19.76,23.63795437,90.5936674,LRP020a,Output@Bridge,Output@Bridge16,260.4191573
50,,,20.044,23.6358608,90.5948052,LRP020a,Road,Road50,298.9334157
51,,,20.342,23.6341108,90.5970274,LRP020b,Road,Road51,50.5675072
14597,B,10.4,20.397,23.63380522,90.59739409,LRP020b,Bridge,Bridge14597,0
14597,B,,20.397,23.63380522,90.59739409,LRP020b,Output@Bridge,Output@Bridge14597,41.37346301
52,,,20.442,23.6335552,90.5976941,LRP020c,Road,Road52,81.51244635
53,,,20.524,23.6330549,90.5982774,LRP021,Road,Road53,655.3916344
19,A,89.2,21.184,23.62846685,90.60230157,LRP021c,Bridge,Bridge19,0
19,A,,21.184,23.62846685,90.60230157,LRP021c,Output@Bridge,Output@Bridge19,312.8037287
54,,,21.499,23.6262771,90.6042222,LRP021a,Road,Road54,140.2433123
55,,,21.629,23.6252216,90.6049722,LRP022,Road,Road55,124.9484998
56,,,21.765,23.6242216,90.6055278,LRP022a,Road,Road56,225.7106126
57,,,21.993,23.6224993,90.6066944,LRP022b,Road,Road57,260.7204674
58,,,22.252,23.6204716,90.6079722,LRP022c,Road,Road58,76.16375199
14598,B,5.5,22.328,23.61988322,90.60835289,LRP022a,Bridge,Bridge14598,0
14598,B,,22.328,23.61988322,90.60835289,LRP022a,Output@Bridge,Output@Bridge14598,46.09915625
59,,,22.374,23.6195271,90.6085833,LRP022d,Road,Road59,232.0730834
14601,B,224.82,22.596,23.6176408,90.60955061,LRP023b,Bridge,Bridge14601,0
14601,B,,22.596,23.6176408,90.60955061,LRP023b,Output@Bridge,Output@Bridge14601,34.49740181
60,,,22.629,23.6173604,90.6096944,LRP023,Road,Road60,437.8535897
14602,B,116.8,23.081,23.61358738,90.61090296,LRP023c,Bridge,Bridge14602,0
14602,B,,23.081,23.61358738,90.61090296,LRP023c,Output@Bridge,Output@Bridge14602,467.8844762
61,,,23.564,23.6095556,90.6121944,LRP023a,Road,Road61,68.05109277
62,,,23.629,23.609,90.6124722,LRP024,Road,Road62,761.7832493
12709,C,900,24.393,23.60275959,90.6155317,LRP024a,Bridge,Bridge12709,0
12709,C,,24.393,23.60275959,90.6155317,LRP024a,Output@Bridge,Output@Bridge12709,109.6813358
63,,,24.503,23.6018611,90.6159722,LRP024a,Road,Road63,118.1662731
64,,,24.629,23.6009444,90.6165556,LRP025,Road,Road64,994.0122609
65,,,25.629,23.5959997,90.624666,LRP026,Road,Road65,6.810128458
66,,,25.639,23.5959441,90.6246938,LRP026a,Road,Road66,469.6398866
25,A,5.6,26.115,23.59298188,90.62796994,LRP026a,Bridge,Bridge25,0
25,A,,26.115,23.59298188,90.62796994,LRP026a,Output@Bridge,Output@Bridge25,195.3559891
67,,,26.313,23.5917497,90.6293327,LRP026b,Road,Road67,139.6017076
26,A,5.5,26.452,23.59080885,90.63023686,LRP026b,Bridge,Bridge26,0
26,A,,26.452,23.59080885,90.63023686,LRP026b,Output@Bridge,Output@Bridge26,177.7668361
68,,,26.629,23.5896108,90.6313882,LRP027,Road,Road68,485.6760485
27,A,5.6,27.12,23.58631812,90.63450942,LRP027a,Bridge,Bridge27,0
27,A,,27.12,23.58631812,90.63450942,LRP027a,Output@Bridge,Output@Bridge27,378.8507397
69,,,27.503,23.5837497,90.6369441,LRP027a,Road,Road69,140.4173983
70,,,27.629,23.5828327,90.6378886,LRP028,Road,Road70,37.76070775
71,,,27.668,23.5825827,90.6381386,LRP028a,Road,Road71,641.5169966
30,A,163.5,28.315,23.57798002,90.64191931,LRP028a,Bridge,Bridge30,0
30,A,,28.315,23.57798002,90.64191931,LRP028a,Output@Bridge,Output@Bridge30,8.923786846
72,,,28.324,23.577916,90.6419719,LRP028b,Road,Road72,36.86369661
73,,,28.363,23.5776104,90.6421108,LRP028c,Road,Road73,379.4563875
74,,,28.759,23.5745271,90.6436941,LRP029,Road,Road74,300.0483064
75,,,29.067,23.572166,90.6451108,LRP029a,Road,Road75,42.08407921
76,,,29.113,23.5718327,90.6453052,LRP029b,Road,Road76,25.17964393
34,A,29,29.138,23.57163063,90.64541592,LRP029a,Bridge,Bridge34,0
34,A,,29.138,23.57163063,90.64541592,LRP029a,Output@Bridge,Output@Bridge34,625.4648595
77,,,29.759,23.5666111,90.6481663,LRP030,Road,Road77,82.2118548
35,A,34.7,29.842,23.5660034,90.64862372,LRP030a,Bridge,Bridge35,0
35,A,,29.842,23.5660034,90.64862372,LRP030a,Output@Bridge,Output@Bridge35,282.294652
78,,,30.127,23.5639167,90.6501944,LRP030a,Road,Road78,37.63906455
79,,,30.165,23.5636944,90.6504722,LRP030b,Road,Road79,528.8776977
80,,,30.697,23.5604167,90.6542222,LRP030c,Road,Road80,35.68012074
81,,,30.735,23.5602222,90.6545,LRP030d,Road,Road81,41.80824413
