,index,road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
20,14597,N1,20.397,Box Culvert,LRP020b,SHADIPUR BOX CULVERT,10.4,B,109827,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,20.397,20.9,2003.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.63380522,90.597394085,interpolate
21,19,N1,21.184,PC Girder Bridge,LRP021c,MARIKHALL BRIDGE,89.2,A,101103,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.184,9.2,2000.0,3.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6284668507692,90.6023015723077,interpolate
22,14598,N1,22.328,Box Culvert,LRP022a,SANGAKADI CULVERT,5.5,B,101112,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,22.328,21.0,2002.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6198832229508,90.6083528852459,interpolate
23,14601,N1,22.596,PC Girder Bridge,LRP023b,Ashariarchar Bridge(R),224.82,B,119956,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,22.596,9.15,2000.0,7.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6176407964705,90.6095506105882,interpolate
24,14602,N1,23.081,PC Girder Bridge,LRP023c,ASHIR CHAR (R),116.8,B,109802,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,9.2,2000.0,4.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.613587384385,90.6109029561497,interpolate
25,12709,N1,24.393,PC Box,LRP024a,MEGHNA BRIDGE,900.0,C,101123,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,24.393,9.2,1989.0,13.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6027595885583,90.6155316965675,interpolate
26,25,N1,26.115,Box Culvert,LRP026a,TATULTALA CULVERT,5.6,A,101132,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,26.115,10.3,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5929818827893,90.6279699370919,interpolate
27,26,N1,26.452,Box Culvert,LRP026b,BAILAKANDI CULVERT,5.5,A,101142,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,26.452,20.9,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5908088547468,90.6302368598101,interpolate
28,27,N1,27.12,Box Culvert,LRP027a,MALUAKANDI CULVEDRT,5.6,A,101150,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,27.12,21.0,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.58631812254,90.6345094207093,interpolate
29,30,N1,28.315,PC Girder Bridge,LRP028a,BHATIR CHAR BRIDGE,163.5,A,101101,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,28.315,9.2,2000.0,6.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5779800248475,90.6419193089939,interpolate
30,34,N1,29.138,PC Girder Bridge,LRP029a,ANAR PURA BRIDGE(L),29.0,A,101104,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,9.3,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5716306256965,90.6454159236842,interpolate
