,Link No,Name,LRP_Start,Offset_Start,Chainage_Start,LRP_End,Offset_End,Chainage_End,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT
58,N1-59,Chokoria R172 - Faishakhali Z1005,LRP336,1575,332.877,LRP341,852,337.31,4.433,78,2018,1098,1568,476,2036,330,636,5022,2886,856,8366,0,16148,9222,25370
59,N1-60,Faishakhali Z1005- Dulahazra Z1130,LRP341,852,337.31,LRP348,96,343.559,6.249,70,1190,318,824,272,1520,236,218,3096,806,236,900,0,8550,1136,9686
60,N1-61,Dulahazra Z1130-Khutakhali Z1131,LRP348,96,343.559,LRP354,509,350.054,6.495,70,1190,318,824,272,1520,236,218,3096,806,236,900,0,8550,1136,9686
61,N1-62,Khutakhali Z1131 - Ramu (Int.with Z1001),LRP354,509,350.054,LRP376,57,370.982,20.928,70,1190,318,824,272,1520,236,218,3096,806,236,900,0,8550,1136,9686
62,N1-63,Ramu (Int.with Z1001)-Ramu Intersection N109,LRP376,57,370.982,LRP378,593,373.475,2.493,70,1190,318,824,272,1520,236,218,3096,806,236,900,0,8550,1136,9686
63,N1-64,Ramu Intersection N109 - Coxsbazar Link Road N110,LRP378,593,373.475,LRP386,724,381.481,8.006,70,1190,318,824,272,1520,236,218,3096,806,236,900,0,8550,1136,9686
64,N1-65,Coxsbazar Link Road N110-Maricha Z1009,LRP386,724,381.481,LRP403,217,398.205,16.724,48,910,274,258,400,1136,262,284,4952,838,194,2084,0,9362,2278,11640
65,N1-66,Maricha Z1009-Ukhia Dakbanglo Z1503,LRP403,217,398.205,LRP413,300,408.434,10.229,48,910,274,258,400,1136,262,284,4952,838,194,2084,0,9362,2278,11640
66,N1-67,Ukhia Dakbanglo Z1503 - Gundum Z1504,LRP413,300,408.434,LRP420,900,416.044,7.610,48,910,274,258,400,1136,262,284,4952,838,194,2084,0,9362,2278,11640
67,N1-68,GundumGundum Z1504 - Whykong Z1133,LRP420,900,416.044,LRP433,521,428.908,12.864,48,910,274,258,400,1136,262,284,4952,838,194,2084,0,9362,2278,11640
68,N1-69,Whykong Z1133 - Teknaf,LRP433,521,428.908,LRP467,130,462.254,33.346,48,910,274,258,400,1136,262,284,4952,838,194,2084,0,9362,2278,11640
